Schema,Table / View,source system
bia_sa_stg,crm_case_t,decomissioning
bia_sa_stg,rmdy_t2109__c_c1000000151,remdedy
bia_sa_stg,d_date,decomissioning
bia_sa_stg,d_incident_outcome,decomissioning
bia_sa_stg,d_incident_spec,decomissioning
bia_sa_stg,d_location,decomissioning
bia_sa_stg,d_service_avc,decomissioning
bia_sa_stg,d_wba_end_user_fault_sla_target,decomissioning
bia_sa_stg,e_bseg_matched_data_sites_reconciled_t,decomissioning
bia_sa_stg,elms_vw_enhanced_location,decomissioning
bia_sa_stg,gns_mmiqdetail,genesys
bia_sa_stg,gns_mmvqdetail,genesys
bia_sa_stg,gns_queuedetail,genesys
bia_sa_stg,wwm_tx_work_request_status_history,wwm
bia_sa_stg,gns_vwfm_performance_15min,decomissioning
bia_sa_stg,m_mapping_table_varchar_t,decomissioning
bia_sa_stg,wwm_tx_work_order,wwm
bia_sa_stg,max_workorderspec,decomissioning
bia_sa_stg,wba_assr_svt_titles,decomissioning
bia_sa_stg,c_wwm_work_request_status_history,wwm
bia_sa_stg,gns_agentcalldetail,genesys
bia_sa_stg,wwm_tx_work_request_t,wwm
bia_sa_stg,wwm_tx_work_order_t,wwm
bia_sa_stg,rmdy_t2115__base,remdedy
bia_sa_stg,wwm_tx_work_request_status_history_t,wwm
bia_sa_stg,ful_product_t,comptel
bia_sa_stg,c_wwm_work_order_status_history,wwm
bia_sa_stg,ful_csll_service_t,comptel
bia_sa_stg,wwm_tx_appointment_t,wwm
bia_sa_stg,rmdy_t2597,remdedy
bia_sa_stg,ful_order_t,comptel
bia_sa_stg,rmdy_t2358,remdedy
bia_sa_stg,rmdy_field,remdedy
bia_sa_stg,c_wwm_work_request,wwm
bia_sa_stg,rmdy_t2115__c_c1000000151,remdedy
bia_sa_stg,wwm_tx_appointment_status_history_t,wwm
bia_sa_stg,rmdy_arschema,remdedy
bia_sa_stg,gns_vwfm_agentadherencestates,genesys
bia_sa_stg,gns_mmagentixndetail,genesys
bia_sa_stg,c_wwm_appointment,wwm
bia_sa_stg,wwm_tx_work_request,wwm
bia_sa_stg,rmdy_t1876,remdedy
bia_sa_stg,wwm_tx_work_order_status_history_t,wwm
bia_sa_stg,c_wwm_work_order,wwm
bia_sa_stg,rmdy_t1965,remdedy
bia_sa_stg,rmdy_t2110,remdedy
bia_sa_stg,ful_nhur_t,comptel
bia_sa_stg,gns_vwfm_agentadherencetotal,genesys
bia_sa_stg,rmdy_t2109__base,remdedy
bia_sa_stg,rmdy_t2068,remdedy
bia_sa_stg,wwm_tx_work_order_status_history,wwm
bia_sa_stg,gns_vwfm_agentadherencedata,genesys
bia_sa_stg,ful_order_keep_t,comptel
bia_sa_stg,ful_avc_service_t,comptel
bia_sa_stg,wwm_tx_appointment,wwm
bia_sa_stg,rmdy_field_enum_values,remdedy
bia_sa_stg,c_wwm_appointment_status_history,wwm
bia_sa_stg,gns_mmagentstatedetail,genesys
bia_sa_stg,wwm_tx_appointment_new,wwm
ful_sa_stg,attribute_values,comptel7
ful_sa_stg,audit_objects,comptel7
ful_sa_stg,auto_close_work_queues,comptel7
ful_sa_stg,cm_ems_parent_class_t,comptel7
ful_sa_stg,ems_attribute_val_headers,comptel7
ful_sa_stg,ems_object_links,comptel7
ful_sa_stg,ems_objects,comptel7
