Project,Workbook,Workbook Publisher,Is Extract?,Type,Connection
NEO - CSA,All Open INCs,SVC_NTZ_PRD_CSA_TBS,No,Netezza,Remedy Work Log Notes
NEO - CSA,All Open INCs,SVC_NTZ_PRD_CSA_TBS,No,Redshift,Remedy Helpdesk (Redshift)
NEO - CSA,All Open INCs,SVC_NTZ_PRD_CSA_TBS,No,Redshift,UAT CC A11S - Orders
NEO - CSA,All Open INCs,SVC_NTZ_PRD_CSA_TBS,Yes,Netezza,NEX  - Order and Activation Summary
NEO - CSA,CSA - AGED - Daily Summary TEST,Paul Dunshea,No,Postgres,Tableau Events
NEO - CSA,CSA - AGED - Daily Summary TEST,Paul Dunshea,No,Redshift,CSA A27 - Appointments Only
NEO - CSA,CSA -  CX Daily Insights Dashboard V1,SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A05 - Aged Incidents
NEO - CSA,CSA -  CX Daily Insights Dashboard V1,SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A14H - Inc - Wor
NEO - CSA,CSA -  CX Daily Insights Dashboard V1,SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA - FTTP Dashboard,Paul Dunshea,No,Redshift,CSA A11S - Incident
NEO - CSA,CSA - FTTP Dashboard,Paul Dunshea,No,Redshift,CSA A14H - Inc - Wor
NEO - CSA,CSA - FTTP Dashboard,Paul Dunshea,Yes,Netezza,CSA E07 - Genesys Agent Call Detail
NEO - CSA,CSA - FTTP Dashboard,Paul Dunshea,Yes,Netezza,CSA E09 - Genesys Queue Detail
NEO - CSA,CSA - FW LTSS Incoming Incidents and Actioned Interactions,Paul Dunshea,No,Postgres,Tableau Events
NEO - CSA,CSA - IHvsBAU Fallout,Chintan Gatecha,No,Postgres,Tableau Events
NEO - CSA,CSA - IHvsBAU Fallout,Chintan Gatecha,Yes,Netezza,CSA E09 - Genesys Queue Detail
NEO - CSA,CSA - Incident Status Lookup Tool,Chintan Gatecha,No,Redshift,CSA A14H - Inc - Wor
NEO - CSA,CSA - Incident Status Lookup Tool_UAT (3),SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A14H - Inc - Wor
NEO - CSA,CSA - Incidents Resolved For More Than 2 Days,SVC_NTZ_PRD_CSA_TBS,No,Postgres,Tableau Events
NEO - CSA,CSA - Repeat CX (OTD Real Time Repeat INC),Paul Dunshea,No,Postgres,Tableau Events
NEO - CSA,CSA - Repeat CX (OTD Real Time Repeat INC),Paul Dunshea,No,Redshift,CSA A14H - Inc - Wor
NEO - CSA,CSA - SAOC Calls and Incident Dashboard,SVC_NTZ_PRD_CSA_TBS,Yes,Netezza,CSA E07 - Genesys Agent Call Detail
NEO - CSA,CSA - SAOC Calls and Incident Dashboard,SVC_NTZ_PRD_CSA_TBS,Yes,Netezza,CSA E09 - Genesys Queue Detail
NEO - CSA,CSA - SDP Aged Appt and Remediation Breakdown,Paul Dunshea,No,Postgres,Tableau Events
NEO - CSA,CSA - SDP Aged Appt and Remediation Breakdown,Paul Dunshea,No,Redshift,CSA A05 - Aged Incidents
NEO - CSA,CSA -Priority Assist Open Incidents,SVC_NTZ_PRD_CSA_TBS,No,Postgres,Tableau Events
NEO - CSA,CSA -Priority Assist Open Incidents,SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A05 - Aged Incidents
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,No,Postgres,Tableau Events
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A05 - Aged Incidents
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A05A - Aged and NI with Worklog Notes
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A11S - Incident
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A14H - Inc - Wor
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A20b - MTM 3.0  Summary
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,No,Redshift,CSA A27 - Appointments Only
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,Yes,Netezza,CSA E01 - Genesys MM Virtual Queue Detail
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,Yes,Netezza,CSA E02 - Genesys MM Agent Interaction Detail
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,Yes,Netezza,CSA E07 - Genesys Agent Call Detail
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,Yes,Netezza,CSA E08 - Genesys VWFM Agent Adherence Data
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,Yes,Netezza,CSA E09 - Genesys Queue Detail
NEO - CSA,CSA R&A Report Portal,SVC_NTZ_PRD_CSA_TBS,Yes,Netezza,CSA E10 - Genesys VWFM Agent Adherence Total
