tds,schema,table
CC 15 - Ord - Apt - Wrq - Wor - Loc - Pri.tds,cc_dde,cc_appointment_t
CC 15 - Ord - Apt - Wrq - Wor - Loc - Pri.tds,cc_dde,cc_orders_dq_links_t
CC 15 - Ord - Apt - Wrq - Wor - Loc - Pri.tds,cc_dde,cc_work_request_t
CC 15 - Ord - Apt - Wrq - Wor - Loc - Pri.tds,cc_dde,tableau cc order additional attributes view
CC 15 - Ord - Apt - Wrq - Wor - Loc - Pri.tds,cc_dde,tableau cc orders view
CC 15 - Ord - Apt - Wrq - Wor - Loc - Pri.tds,cc_dde,tableau cc work order view
CC 15 - Ord - Apt - Wrq - Wor - Loc - Pri.tds,cc_dde,tableau location view
CC A10 - Ord - Apt - Wor - Wrq - Loc - Pri,cc_dde,tableau cc appointment view
CC A10 - Ord - Apt - Wor - Wrq - Loc - Pri,cc_dde,tableau cc order additional attributes view
CC A10 - Ord - Apt - Wor - Wrq - Loc - Pri,cc_dde,tableau cc order links view
CC A10 - Ord - Apt - Wor - Wrq - Loc - Pri,cc_dde,tableau cc orders view
CC A10 - Ord - Apt - Wor - Wrq - Loc - Pri,cc_dde,tableau cc work order view
CC A10 - Ord - Apt - Wor - Wrq - Loc - Pri,cc_dde,tableau cc work request view
CC A10 - Ord - Apt - Wor - Wrq - Loc - Pri,cc_dde,tableau location view
CC A10 - Ord - Apt - Wor - Wrq - Loc - Pri,cc_dde,tableau product instance view
CC A10m - Ord - Prd History,tableau_dde,tableau_cc_a10_minified_order_prd_changes_t
CC A10r - Ord - Wor - Loc,nbn_dde_23,tableau product instance view
CC A10r - Ord - Wor - Loc,nbn_dde_intraday,tableau live cc order work order links view
CC A10r - Ord - Wor - Loc,nbn_dde_intraday,tableau live order location view
CC A10r - Ord - Wor - Loc,nbn_dde_intraday,tableau live order view
CC A10r - Ord - Wor - Loc,nbn_dde_intraday,tableau live work order view
CC A10rm - Net Prem Activated,tableau_dde,tableau_cc_10r_minified_net_prem_t
CC A10rma - Red and Amber (2),tableau_dde,tableau_cc_10r_minified_red_and_amber_t
CC A11S - Orders,cc_dde,tableau cc order additional attributes view
CC A11S - Orders,cc_dde,tableau cc order daily snapshot view
CC A11S - Orders,cc_dde,tableau cc order only links view
CC A11S - Orders,cc_dde,tableau cc orders view
CC A11S - Orders,cc_dde,tableau cc wo resolver group view
CC A11S - Orders,cc_dde,tableau cc work order view
CC A11S - Orders,cc_dde,tableau location view
CC A11S - Orders,cc_dde,tableau product instance view
CC A11S - Orders (2),cc_dde,tableau cc order additional attributes view
CC A11S - Orders (2),cc_dde,tableau cc order daily snapshot view
CC A11S - Orders (2),cc_dde,tableau cc order only links view
CC A11S - Orders (2),cc_dde,tableau cc orders view
CC A11S - Orders (2),cc_dde,tableau cc wo resolver group view
CC A11S - Orders (2),cc_dde,tableau cc work order view
CC A11S - Orders (2),cc_dde,tableau location view
CC A11S - Orders (2),cc_dde,tableau product instance view
CC A11S - Orders (3),cc_dde,tableau cc order additional attributes view
CC A11S - Orders (3),cc_dde,tableau cc order daily snapshot view
CC A11S - Orders (3),cc_dde,tableau cc order only links view
CC A11S - Orders (3),cc_dde,tableau cc orders view
CC A11S - Orders (3),cc_dde,tableau cc wo resolver group view
CC A11S - Orders (3),cc_dde,tableau cc work order view
CC A11S - Orders (3),cc_dde,tableau location view
CC A11S - Orders (3),cc_dde,tableau product instance view
CC A11S - Orders Extract LLD.tds,cc_dde,tableau cc order additional attributes view
CC A11S - Orders Extract LLD.tds,cc_dde,tableau cc order daily snapshot view
CC A11S - Orders Extract LLD.tds,cc_dde,tableau cc order only links view
CC A11S - Orders Extract LLD.tds,cc_dde,tableau cc orders view
CC A11S - Orders Extract LLD.tds,cc_dde,tableau cc wo resolver group view
CC A11S - Orders Extract LLD.tds,cc_dde,tableau cc work order view
CC A11S - Orders Extract LLD.tds,cc_dde,tableau location view
CC A11S - Orders Extract LLD.tds,cc_dde,tableau product instance view
CC A11S - Orders Extract LLD.tds,Extract,Extract
CC A11S - Orders Extract.tds,Extract,Extract
CC A20r - Full Order Fallout,nbn_dde_intraday,tableau live cc order work order links view
CC A20r - Full Order Fallout,nbn_dde_intraday,tableau live full fallout view
CC A20r - Full Order Fallout,nbn_dde_intraday,tableau live location view
CC A20r - Full Order Fallout,nbn_dde_intraday,tableau live order view
CC A20r - Full Order Fallout,nbn_dde_intraday,tableau live work order view
CC A40 - Order Comments,cc_dde,tableau cc order additional attributes view
CC A40 - Order Comments,cc_dde,tableau cc order comments view
CC A40 - Order Comments,cc_dde,tableau cc order only links view
CC A40 - Order Comments,cc_dde,tableau cc orders view
CC A40 - Order Comments,cc_dde,tableau location view
CC A40 - Order Comments,cc_dde,tableau product instance view
CC A50 -  Genesys - Order (2),cc_dde,tableau cc genesys view
"CC A70r - CVC, NNI and FA Order",nbn_dde_intraday,tableau live cvc nni fa links view
"CC A70r - CVC, NNI and FA Order",nbn_dde_intraday,tableau live cvc nni fa orders view
