Workbook Project Name,Workbook Name,Datasource Project Name (underlying),Datasource Name
NEO - CSA,All Open INCs,NEO - Data Capability & Governance - Data Source (Test),UAT CC A11S - Orders
NEO - CSA,CSA - Aged 7+ Summary,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA - AGED - Daily Summary TEST,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA - AGED - Daily Summary TEST,NEO - Data Capability & Governance - Data Sources,CSA A12r - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA - AGED - Daily Summary TEST,NEO - Data Capability & Governance - Data Sources,CSA A27 - Appointments Only
NEO - CSA,CSA -  CX Daily Insights Dashboard V1,NEO - Data Capability & Governance - Data Sources,CSA A05 - Aged Incidents
NEO - CSA,CSA -  CX Daily Insights Dashboard V1,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (0-4)
NEO - CSA,CSA -  CX Daily Insights Dashboard V1,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (Received)
NEO - CSA,CSA -  CX Daily Insights Dashboard V1,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA -  CX Daily Insights Dashboard V1,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (2)
NEO - CSA,CSA -  CX Daily Insights Dashboard V1,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA -  CX Daily Insights Dashboard V1,NEO - Data Capability & Governance - Data Sources,CSA A26a - Incident Repeats
NEO - CSA,CSA - FTTP Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA - FTTP Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA - FTTP Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA - FTTP Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11S - Incident
NEO - CSA,CSA - FTTP Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA - FW LTSS Incoming Incidents and Actioned Interactions,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA - IHvsBAU Fallout,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (2)
NEO - CSA,CSA - IHvsBAU Fallout,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA - IHvsBAU Fallout,NEO - Data Capability & Governance - Data Sources,CSA A26a - Incident Repeats
NEO - CSA,CSA - Incident Status Lookup Tool,NEO - Data Capability & Governance - Data Sources,CSA A12r - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA - Incident Status Lookup Tool,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA - Incident Status Lookup Tool_UAT (3),NEO - Data Capability & Governance - Data Sources,CSA A12r - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA - Incident Status Lookup Tool_UAT (3),NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA - Incidents Resolved For More Than 2 Days,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA - Incidents Resolved For More Than 2 Days,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday
NEO - CSA,CSA - Real Time Incident Status,NEO - Data Capability & Governance - Data Sources,CSA A12r - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA - Repeat CX (OTD Real Time Repeat INC),NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA - Repeat CX (OTD Real Time Repeat INC),NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA - Repeat CX (OTD Real Time Repeat INC),NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday
NEO - CSA,CSA - SAOC Calls and Incident Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A12r - (Summary)
NEO - CSA,CSA - SDP Aged Appt and Remediation Breakdown,NEO - Data Capability & Governance - Data Sources,CSA A05 - Aged Incidents
NEO - CSA,CSA - TCS Feedback and Fallouts,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA -Priority Assist Open Incidents,NEO - Data Capability & Governance - Data Sources,CSA A05 - Aged Incidents
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A05 - Aged Incidents
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A05A - Aged and NI with Worklog Notes (2)
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A05H - Aged Incidents with Snapshot History
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (2)
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A11S - Incident
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A12 - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (2)
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A18 - MTM 3.0 Inc Drill Down
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A19 - MTM 3.0 Wor Drill Down
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A20b - MTM 3.0  Summary
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary (2)
NEO - CSA,CSA R&A Report Portal,NEO - Data Capability & Governance - Data Sources,CSA A27 - Appointments Only
NEO - CSA,CSA01 - Assurance MTM 3.0,NEO - Data Capability & Governance - Data Sources,CSA A18 - MTM 3.0 Inc Drill Down
NEO - CSA,CSA01 - Assurance MTM 3.0,NEO - Data Capability & Governance - Data Sources,CSA A19 - MTM 3.0 Wor Drill Down
NEO - CSA,CSA01 - Assurance MTM 3.0,NEO - Data Capability & Governance - Data Sources,CSA A20b - MTM 3.0  Summary
NEO - CSA,CSA01 - Assurance MTM 3.0,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA01a - Assurance Incident Type,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA01c - Incidents Reported Variation,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA01e - CS&A Performance Results,NEO - Data Capability & Governance - Data Sources,CC A11S - Orders
NEO - CSA,CSA01e - CS&A Performance Results,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA01e - CS&A Performance Results,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (2)
NEO - CSA,CSA01e - CS&A Performance Results,NEO - Data Capability & Governance - Data Sources,CSA A12r - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA01e - CS&A Performance Results,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA01e - CS&A Performance Results,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary Auto closed
NEO - CSA,CSA01m - MTTR,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA01m - MTTR,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (All Incidents)
NEO - CSA,CSA03 - SLA Miss Reason Root Cause Analysis,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA03 - SLA Miss Reason Root Cause Analysis,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary (2)
NEO - CSA,CSA07 - % of Appointments Completed OTD,NEO - Data Capability & Governance - Data Sources,CSA A12 - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA07 - % of Appointments Completed OTD,NEO - Data Capability & Governance - Data Sources,CSA A12 -3 week extract (inc Speed Assurance)
NEO - CSA,CSA08 - First and Subsequent Interactions Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA10 - FTTx Line Test Results,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA10 - FTTx Line Test Results,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday
NEO - CSA,CSA10 - FTTx Line Test Results,NEO - Data Capability & Governance - Data Sources,CSA A16h - Incidents  with Events Intraday
NEO - CSA,CSA11 – WBA3 SLA STC Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A12 - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA11 – WBA3 SLA STC Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA11 – WBA3 SLA STC Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A23 - Stop The Clock
NEO - CSA,CSA13 - FTTC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA13 - FTTC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday
NEO - CSA,CSA13 - FTTC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday OTD
NEO - CSA,CSA13 - FTTC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A16h - Incidents  with Events Intraday
NEO - CSA,CSA16 - e-SLA Report,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA16 - e-SLA Report,NEO - Data Capability & Governance - Data Sources,CSA A12 - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA16 - e-SLA Report,NEO - Data Capability & Governance - Data Sources,CSA A12 - Inc - Apt - Wor - Wrq - Loc- Pri (2)
NEO - CSA,CSA16 - e-SLA Report,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA16 - e-SLA Report,NEO - Data Capability & Governance - Data Sources,CSA A23 - Stop The Clock
NEO - CSA,CSA16a - Enhanced SLA Intraday Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (with Exclusions)
NEO - CSA,CSA16a - Enhanced SLA Intraday Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA16a - Enhanced SLA Intraday Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A12r - Inc - Apt - Wor - Wrq - Loc- Pri
NEO - CSA,CSA16a - Enhanced SLA Intraday Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA16a - Enhanced SLA Intraday Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (2)
NEO - CSA,CSA16a - Enhanced SLA Intraday Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (3)
NEO - CSA,CSA16a - Enhanced SLA Intraday Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (Open SLA)
NEO - CSA,CSA16a - Enhanced SLA Intraday Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday
NEO - CSA,CSA16a - Enhanced SLA Intraday Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A20b - MTM 3.0  Summary
NEO - CSA,CSA18 TCS Speed Assurance & Speed Degradation Metrics Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
NEO - CSA,CSA18 TCS Speed Assurance & Speed Degradation Metrics Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA18 TCS Speed Assurance & Speed Degradation Metrics Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident (2)
NEO - CSA,CSA18 TCS Speed Assurance & Speed Degradation Metrics Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11S - Incident
NEO - CSA,CSA18 TCS Speed Assurance & Speed Degradation Metrics Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A18 - MTM 3.0 Inc Drill Down
NEO - CSA,CSA18 TCS Speed Assurance & Speed Degradation Metrics Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A21b - MTM 3.0 Met Miss Summary
NEO - CSA,CSA18 TCS Speed Assurance & Speed Degradation Metrics Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A26a - Incident Repeats
NEO - CSA,CSA20 - BOC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident (with Exclusions)
NEO - CSA,CSA20 - BOC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11H - Incident
NEO - CSA,CSA20 - BOC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor
NEO - CSA,CSA20 - BOC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (2)
NEO - CSA,CSA20 - BOC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (3)
NEO - CSA,CSA20 - BOC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A14H - Inc - Wor (Open SLA)
NEO - CSA,CSA20 - BOC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday
NEO - CSA,CSA20 - BOC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A16a - Incidents Intraday (2)
NEO - CSA,CSA20 - BOC Real Time Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A20b - MTM 3.0  Summary
NEO - CSA,CSA25 - V&C Incidents with TR Repeats (Trend and Real Time),NEO - Data Capability & Governance - Data Sources,CSA A26a - Incident Repeats
NEO - CSA,CSA25 - V&C Incidents with TR Repeats (Trend and Real Time),NEO - Data Capability & Governance - Data Sources,CSA A26a - Incident Repeats (2)
NEO - CSA,CSA25 - V&C Incidents with TR Repeats (Trend and Real Time),NEO - Data Capability & Governance - Data Sources,CSA A26rm - Incident Repeat with TR
NEO - CSA,CSA27 - Appointments within SLA,NEO - Data Capability & Governance - Data Sources,CSA A27 - Appointments Only
NEO - CSA,CSA28 - Impact of CRQ on Reported incidents,NEO - Data Capability & Governance - Data Sources,CSA A31 - Incident CRQ
NEO - CSA,CSA28 - Impact of CRQ on Reported incidents,NEO - Data Capability & Governance - Data Sources,CSA A31 - Incident CRQ (CRQ Graph Analysis)
NEO - CSA,CSA31 - NEO SAOC Dashboard,NEO - Data Capability & Governance - Data Sources,CSA A11 - Incident
